,G,p,budget,from_cache,method,trial_id,I_size,v1_size,v2_size,num_cross_edges,maxD,mip_value,min_exposed_value,duration,v1_objective,greedy_overlap
96,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,dependent,0,2465,10920,13625,24940,30,133.7111629247248,215.4,2.3636347469873726,1367.9067003959199,58
97,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,greedy_weighted,1,2465,10920,13625,24940,30,133.9427842654491,205.8,0.06305766600416972,1367.9067003959199,-1
98,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,random,0,609,3182,7326,10008,28,55.32207639404544,76.8,0.363389563979581,318.6678779047628,4
99,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,mip_gurobi,1,5181,31140,21397,79421,38,411.70145815774873,920.0,13.614816033979876,5940.560420450545,42
100,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,dependent,0,609,3182,7326,10008,28,47.79691557998114,62.8,0.4538150239968672,318.6678779047628,65
101,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,dependent,1,609,3182,7326,10008,28,48.051502042845,57.8,0.4753475869947579,318.6678779047628,62
102,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,greedy_weighted,0,609,3182,7326,10008,28,48.55649050333185,59.4,0.01901527500012889,318.6678779047628,-1
103,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,greedy_weighted,1,609,3182,7326,10008,28,48.55649050333185,62.6,0.018490593996830285,318.6678779047628,-1
104,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,random,1,609,3182,7326,10008,28,55.73735924468272,74.4,0.5908876920002513,318.6678779047628,7
105,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,dependent,1,2465,10920,13625,24940,30,133.81648329943562,208.8,2.518710808013566,1367.9067003959199,59
106,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,random,1,5490,22977,15421,37672,21,256.09602763573287,468.4,2.8411308159993496,4027.535454871651,0
107,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,dependent,0,5490,22977,15421,37672,21,244.58692571611027,449.0,4.007952292013215,4027.535454871651,42
108,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,mip_gurobi,1,3788,29469,26469,110302,40,463.78798670217805,1189.6,16.772846732987087,4976.517014785405,40
109,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,mip_gurobi,1,2465,10920,13625,24940,30,132.55125762856508,213.6,2.7190069289936223,1367.9067003959199,64
110,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,mip_gurobi,1,609,3182,7326,10008,28,47.54719700570274,59.8,0.4860449280240573,318.6678779047628,68
111,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,mip_gurobi,0,2465,10920,13625,24940,30,132.55125762856508,199.4,2.8400673969881614,1367.9067003959199,64
112,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,greedy_weighted,0,5490,22977,15421,37672,21,245.4801129386784,426.8,0.7663743309967685,4027.535454871651,-1
113,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,random,0,5490,22977,15421,37672,21,255.9143772129215,454.8,2.6218988799955696,4027.535454871651,0
114,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,mip_gurobi,0,609,3182,7326,10008,28,47.54719700570274,55.4,0.7441511480137706,318.6678779047628,68
115,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,greedy_weighted,1,5490,22977,15421,37672,21,245.4801129386784,430.8,0.2288254279992543,4027.535454871651,-1
116,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,dependent,1,5490,22977,15421,37672,21,244.16131466685212,449.4,3.448548462998588,4027.535454871651,42
117,montgomery,0.078,100,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,mip_gurobi,0,3788,29469,26469,110302,40,463.78798670217805,1208.4,19.450161790999122,4976.517014785405,40
