,G,p,budget,from_cache,method,trial_id_x,mip_value,greedy_intersection,maxD,I_size,v1_size,v2_size,num_cross_edges,duration,updated_MIP_x,v1_sum_values,min_exposed_mean,min_exposed_stddev,updated_min_exposed_value,trial_id_y,optimal_MIP_value,mip_ratio
13496,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ia6.json,random,1,516.7681464066667,55,67,1325,17656,38723,147026,4.123183161998895,2814.578492086076,2297.810345679409,1277.2,18.633303518163387,3575.010345679409,0,2668.964536765332,1.0545582203565813
13497,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ia6.json,random,0,515.505830401122,69,67,1325,17656,38723,147026,4.309664499000064,2813.3161760805306,2297.810345679409,1219.0,53.83771911959125,3516.8103456794092,0,2668.964536765332,1.054085259405562
13498,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ia6.json,greedy_weighted,0,392.1595553614448,-1,67,1325,17656,38723,147026,0.5604436109970266,2689.969901040853,2297.810345679409,1003.8,31.956220051814643,3301.610345679408,0,2668.964536765332,1.0078702298161588
13499,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ia6.json,greedy_weighted,1,392.1595553614448,-1,67,1325,17656,38723,147026,0.5048548279992247,2689.969901040853,2297.810345679409,957.4,35.31713465161068,3255.2103456794084,0,2668.964536765332,1.0078702298161588
13500,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ia6.json,dependent,0,400.816651633623,541,67,1325,17656,38723,147026,26.419372983997164,2698.626997313032,2297.810345679409,1030.0,36.93237062523877,3327.8103456794092,0,2668.964536765332,1.0111138458900806
13501,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ia6.json,dependent,1,406.28626119300674,529,67,1325,17656,38723,147026,25.779679076000317,2704.096606872416,2297.810345679409,1041.6,70.31927189611677,3339.410345679409,0,2668.964536765332,1.0131631835579435
13502,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ia6.json,mip_gurobi,0,371.154191085923,680,67,1325,17656,38723,147026,34.18992202699883,2668.964536765332,2297.810345679409,982.6,44.786158576060075,3280.410345679409,0,2668.964536765332,1.0
13503,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ia6.json,mip_gurobi,1,371.154191085923,680,67,1325,17656,38723,147026,33.337875244000315,2668.964536765332,2297.810345679409,994.2,30.244007670942025,3292.010345679409,0,2668.964536765332,1.0
13504,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/eb13.json,random,0,137.24107969893,103,28,2338,10915,14200,26372,1.850996192999446,1455.3742965479807,1318.1332168490508,208.2,21.428952377566198,1526.3332168490506,0,1410.2365867609867,1.0320071895813352
13505,montgomery,0.078,1000,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/eb13.json,random,1,137.32685410102948,104,28,2338,10915,14200,26372,1.8831034310023824,1455.4600709500805,1318.133216849051,212.4,18.18790807102345,1530.5332168490509,0,1410.2365867609867,1.032068012285061
