,G,p,method,budget,from_cache,value,isOptimal,maxD,duration,I_size
6678,montgomery,0.078,weighted,600,ia10.json,5811.583089185615,-1,31,9.467556476593018,5865
6679,montgomery,0.078,weighted,600,ia10.json,5811.583089185615,-1,31,10.100669860839844,5865
6680,montgomery,0.078,weighted,600,ab7.json,3930.6078304156313,-1,47,5.645259618759155,2296
6681,montgomery,0.078,weighted,600,ab7.json,3930.6078304156313,-1,47,5.848836421966553,2296
6682,montgomery,0.078,weighted,600,va7.json,3880.146198940972,-1,49,6.065404176712036,2272
6683,montgomery,0.078,weighted,600,va7.json,3880.146198940972,-1,49,6.2431488037109375,2272
6684,montgomery,0.078,weighted,600,vb13.json,2135.9735412228297,-1,21,3.1504850387573238,3465
6685,montgomery,0.078,weighted,600,vb13.json,2135.9735412228297,-1,21,2.788594961166382,3465
6686,montgomery,0.078,weighted,600,bb13.json,1242.5459598746575,-1,28,2.147249937057495,2259
6687,montgomery,0.078,weighted,600,bb13.json,1242.5459598746575,-1,28,2.169055461883545,2259
6688,montgomery,0.078,weighted,600,qa15.json,371.04114099134614,-1,21,0.5042021274566649,800
6689,montgomery,0.078,weighted,600,qa15.json,371.04114099134614,-1,21,0.8105232715606691,800
6690,montgomery,0.078,weighted,600,na11.json,5322.864697879083,-1,27,8.706054925918579,5879
6691,montgomery,0.078,weighted,600,ob12.json,3441.4067985622723,-1,26,6.365674018859862,5003
6692,montgomery,0.078,weighted,600,na11.json,5322.864697879083,-1,27,8.781876564025879,5879
6693,montgomery,0.078,weighted,600,ub6.json,2309.314131062892,-1,69,4.2587246894836435,1199
6694,montgomery,0.078,weighted,600,ob12.json,3441.4067985622723,-1,26,6.659119367599487,5003
6695,montgomery,0.078,weighted,600,ub6.json,2309.314131062892,-1,69,4.250776290893556,1199
6696,montgomery,0.078,weighted,600,cb14.json,754.44564568906,-1,26,1.3558590412139893,1446
6697,montgomery,0.078,weighted,600,cb14.json,754.44564568906,-1,26,1.3339395523071291,1446
6698,montgomery,0.078,weighted,600,gb9.json,6247.3813158857665,-1,30,10.293285846710203,5499
6699,montgomery,0.078,weighted,600,gb9.json,6247.3813158857665,-1,30,9.919234991073607,5499
6700,montgomery,0.078,weighted,600,tb5.json,1757.3633477440778,-1,55,3.8777883052825928,877
6701,montgomery,0.078,weighted,600,aa15.json,550.6574231418404,-1,24,1.013977289199829,1158
