,G,p,budget,from_cache,method,trial_id,min_exposed_value,mip_value,greedy_intersection,maxD,I_size,v1_size,v2_size,num_cross_edges,duration,updated_MIP
52,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,mip_gurobi,1,"(115.8, 15.08973160795115)",82.61221489634978,271,27,1584,7527,12026,19278,2.400193830999342,929.0733505986257
53,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,dependent,1,"(1243.4, 35.1326059380741)",467.6556180722933,152,45,3114,28438,29580,130230,12.433005878998301,4989.432404267517
54,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,random,1,"(1357, 33.637776383108324)",526.5591053084173,2,44,3014,28425,29804,130469,6.714992863999214,5069.528827228211
55,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,dependent,0,"(1273.4, 40.75904807524336)",480.4872640415233,141,44,3014,28425,29804,130469,10.981475702999887,5023.4569859613175
56,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,greedy_weighted,0,"(1231.2, 25.99423012901132)",479.0482943047285,-1,44,3014,28425,29804,130469,1.0616469159995177,5022.018016224522
57,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/nb15.json,mip_gurobi,0,"(116, 13.80217374184226)",82.61221489634978,271,27,1584,7527,12026,19278,2.439795075999428,929.0733505986257
58,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,dependent,1,"(1293, 35.08560958569767)",481.389501246768,148,44,3014,28425,29804,130469,12.188930398000592,5024.3592231665625
59,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,greedy_weighted,1,"(1236.6, 37.1860188780676)",479.0482943047285,-1,44,3014,28425,29804,130469,1.169097818001319,5022.018016224522
60,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,random,1,"(1318.2, 28.16380656090366)",532.1250287653836,13,55,1571,19199,37986,149737,4.675226368000949,3087.4702379963182
61,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,random,0,"(1334, 25.602734228984215)",533.8698101455391,7,55,1571,19199,37986,149737,5.034698084000411,3089.2150193764737
62,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,greedy_weighted,1,"(1183.8, 75.34056012534019)",460.33068462130876,-1,55,1571,19199,37986,149737,0.17088937100015755,3015.6758938522435
63,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,greedy_weighted,0,"(1168.2, 39.51835016799158)",460.33068462130876,-1,55,1571,19199,37986,149737,0.2709273870004836,3015.6758938522435
64,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,mip_gurobi,1,"(1247.6, 42.406367446410684)",452.91887121562104,213,45,3114,28438,29580,130230,21.49278131599931,4974.695657410844
65,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,random,0,"(226.8, 17.93599732381782)",143.1911642719969,17,31,2393,11016,13992,25342,1.9497908370012735,1505.7935111034822
66,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ba8.json,mip_gurobi,0,"(1222, 32.54228019054596)",452.91887121562104,213,45,3114,28438,29580,130230,25.594858146001574,4974.695657410844
67,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,random,0,"(1211, 13.874436925511608)",482.9706011858424,4,40,3788,29469,26469,110302,5.858762060999652,5459.487615971248
68,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,random,0,"(996.2, 51.60620117776545)",428.04135741283477,4,38,5181,31140,21397,79421,5.984189558999788,6368.601777863381
69,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,dependent,0,"(185.8, 11.691877522451216)",120.21850795968204,232,31,2393,11016,13992,25342,3.641796472000351,1482.8208547911672
70,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,greedy_weighted,0,"(184.4, 15.582040944625964)",120.32523997567301,-1,31,2393,11016,13992,25342,0.6455926849994285,1482.9275868071581
71,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,random,1,"(223.6, 11.349008767288886)",143.17802952957354,17,31,2393,11016,13992,25342,2.4115151139994846,1505.7803763610586
72,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,greedy_weighted,0,"(1069.2, 16.828547174370104)",443.1971509958908,-1,40,3788,29469,26469,110302,0.9221848000015598,5419.714165781296
